rank,accountid,rating
790,강릉드레이븐,10013
791,澤拉圖,10012
792,runpini,10011
793,TaMu,10011
794,阿撇撇,10011
795,レイタ老,10011
796,Dash,10011
797,평생도망만칠거냐,10011
798,rik,10010
799,한국어배우고싶다,10010
800,prod1gal,10010
801,雪青幽靈,10010
802,Joma,10010
803,暇なやつ,10009
804,Anteater,10009
805,微醺騎士,10007
806,Nosra,10006
807,evanabubu,10006
808,小緯,10005
809,PoTaTo,10005
810,清弦,10003
811,Red,10003
812,tol,10002
813,爱民如子蒙斯克,10001
814,Halcyon,10001
815,気弱な魔術師,10001
816,dkfmaekdnj,10001
817,TUNA,10000
818,Sandle,10000
819,black,10000
820,鲨鱼辣椒,9995
821,psm0203,9995
822,lumio,9994
823,Twitter,9993
824,단진동,9992
825,wyqjsxr,9990
826,bellalin,9988
827,금소묘,9985
828,kikkun,9984
829,LeftAlone,9981
830,XuYang,9980
831,園田海未,9977
832,hagellite,9975
833,金色传说,9974
834,Coollier,9973
835,蹦蹦熊,9969
836,asddsa,9968
837,古拉格斯,9967
838,you39,9963
839,Perakues,9963
840,鬼祟魷魚,9963
841,서사현,9963
842,EMA,9963
843,CMS0503,9960
844,Fairyofmid,9958
845,Kekkou,9956
846,boost,9955
847,FuFu,9954
848,amethyst,9948
849,koko,9943
850,せーたー,9942
851,Noodle,9938
852,umiushiiiiii,9936
853,MASAKI,9927
854,물결의청록영웅,9924
855,望塵,9922
856,Samuelwhy,9921
857,LemonEagle,9919
858,fsociety,9915
859,EighthESXB,9912
860,phoenix,9910
861,Paradean,9908
862,PINGPING,9907
863,Phyrexia,9905
864,完整的綠色老鷹,9904
865,kame,9902
866,Kirk7,9899
867,のれな,9894
868,藤宮,9894
869,無聊的灰色老鷹,9891
870,Comet,9891
871,Benner,9888
872,黑夜騎士,9887
873,Rickhuang,9883
874,我為艾爾而生,9882
875,わしき,9879
876,Sphinx,9878
877,おく,9877
878,mayuat,9877
879,入口即化异灵术,9868
880,Win,9867
881,Polygonchan,9867
