rank,accountid,rating
383,Duggi,11335
384,Voody,11332
385,Тапок,11322
386,dwdizer,11320
387,Jdarc,11318
388,Benibuma,11317
389,Tomer,11316
390,Sullivan,11314
391,Simon,11311
392,TOP,11310
393,Happy,11302
394,VityaProof,11299
395,DJHAOH,11290
396,Dunderklump,11288
397,Tulpa,11285
398,iGXc,11283
399,Dantanmanu,11281
400,YingYing520,11279
401,roflcopter,11277
402,Bishop,11273
403,Verveine,11271
404,暴打安德罗妮,11268
405,Scuzemebro,11263
406,CarryPotter,11259
407,Agathe,11259
408,D3L3T3,11257
409,t3SS3rakt,11257
410,Akisan,11254
411,saiggo16,11251
412,不胡不会玩,11250
413,Ralul,11249
